game_link;game_quality;game_comments_qtd
"javascript:popw('/annotate.pl?id=68111&rnd='+Math.random(),770,850);";;Comments (21)
"javascript:popw('/annotate.pl?id=68077&rnd='+Math.random(),770,850);";;Comments (26)
"javascript:popw('/annotate.pl?id=68071&rnd='+Math.random(),770,850);";;Comments (10)
"javascript:popw('/annotate.pl?id=68052&rnd='+Math.random(),770,850);";;Comments (1)
"javascript:popw('/annotate.pl?id=68029&rnd='+Math.random(),770,850);";;Comments (27)
"javascript:popw('/annotate.pl?id=68018&rnd='+Math.random(),770,850);";;Comments (4)
"javascript:popw('/annotate.pl?id=68006&rnd='+Math.random(),770,850);";;Comments (10)
"javascript:popw('/annotate.pl?id=67992&rnd='+Math.random(),770,850);";;Comments (17)
"javascript:popw('/annotate.pl?id=68349&rnd='+Math.random(),770,850);";;Comments (1)
"javascript:popw('/annotate.pl?id=68342&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=68287&rnd='+Math.random(),770,850);";;Comments (41)
"javascript:popw('/annotate.pl?id=68236&rnd='+Math.random(),770,850);";;Comments (8)
"javascript:popw('/annotate.pl?id=68208&rnd='+Math.random(),770,850);";;Comments (6)
"javascript:popw('/annotate.pl?id=68190&rnd='+Math.random(),770,850);";;Comments (19)
"javascript:popw('/annotate.pl?id=68186&rnd='+Math.random(),770,850);";;Comments (11)
"javascript:popw('/annotate.pl?id=68172&rnd='+Math.random(),770,850);";;Comments (25)
"javascript:popw('/annotate.pl?id=68158&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=68146&rnd='+Math.random(),770,850);";;Comments (2)
"javascript:popw('/annotate.pl?id=68129&rnd='+Math.random(),770,850);";;Comments (1)
"javascript:popw('/annotate.pl?id=68118&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=68097&rnd='+Math.random(),770,850);";;Comments (0)
"javascript:popw('/annotate.pl?id=68072&rnd='+Math.random(),770,850);";;Comments (43)
"javascript:popw('/annotate.pl?id=68058&rnd='+Math.random(),770,850);";;Comments (10)
"javascript:popw('/annotate.pl?id=68040&rnd='+Math.random(),770,850);";;Comments (13)
"javascript:popw('/annotate.pl?id=68026&rnd='+Math.random(),770,850);";;Comments (25)
"javascript:popw('/annotate.pl?id=68008&rnd='+Math.random(),770,850);";;Comments (24)
"javascript:popw('/annotate.pl?id=68005&rnd='+Math.random(),770,850);";;Comments (8)
"javascript:popw('/annotate.pl?id=67987&rnd='+Math.random(),770,850);";;Comments (0)
